wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,16,16,100,0,0,0,0.04,355.93,22779
0,1,16,16,100,50,0,0,0.10,154.63,9896
0,1,16,16,100,100,0,0,0.10,157.17,10059
0,1,16,64,0,50,0,0,0.21,298.38,4774
0,1,16,64,0,100,0,0,0.21,298.72,4779
0,1,16,64,50,0,0,0,0.14,434.23,6948
0,1,16,64,50,50,0,0,0.21,298.21,4771
0,1,16,64,50,100,0,0,0.21,298.51,4776
0,1,16,64,100,0,0,0,0.14,434.19,6947
0,1,16,64,100,50,0,0,0.21,298.02,4768
0,1,16,64,100,100,0,0,0.21,299.02,4784
0,1,16,256,0,50,0,0,0.60,415.96,1664
0,1,16,256,0,100,0,0,0.60,416.56,1666
0,1,16,256,50,0,0,0,0.53,469.40,1877
0,1,16,256,50,50,0,0,0.60,415.91,1663
0,1,16,256,50,100,0,0,0.60,416.21,1665
0,1,16,256,100,0,0,0,0.53,468.26,1873
0,1,16,256,100,50,0,0,0.60,416.91,1667
0,1,16,256,100,100,0,0,0.60,416.66,1666
0,1,64,1,0,50,0,0,0.07,13.37,13695
0,1,64,1,0,100,0,0,0.07,13.56,13882
0,1,64,1,50,0,0,0,0.02,58.17,59565
0,1,64,1,50,50,0,0,0.07,13.40,13724
0,1,64,1,50,100,0,0,0.07,13.57,13896
0,1,64,1,100,0,0,0,0.02,58.21,59607
0,1,64,1,100,50,0,0,0.07,13.39,13715
0,1,64,1,100,100,0,0,0.07,13.57,13895
0,1,64,4,0,50,0,0,0.08,49.74,12733
0,1,64,4,0,100,0,0,0.08,50.25,12863
0,1,64,4,50,0,0,0,0.02,183.27,46917
0,1,64,4,50,50,0,0,0.08,49.71,12726
0,1,64,4,50,100,0,0,0.08,50.25,12864
0,1,64,4,100,0,0,0,0.02,183.05,46860
0,1,64,4,100,50,0,0,0.08,49.77,12742
0,1,64,4,100,100,0,0,0.08,50.23,12859
0,1,64,16,0,50,0,0,0.10,154.67,9899
0,1,64,16,0,100,0,0,0.10,157.11,10055
0,1,64,16,50,0,0,0,0.04,355.22,22734
0,1,64,16,50,50,0,0,0.10,154.56,9891
0,1,64,16,50,100,0,0,0.10,157.11,10055
0,1,64,16,100,0,0,0,0.04,355.86,22775
0,1,64,16,100,50,0,0,0.10,154.52,9889
0,1,64,16,100,100,0,0,0.10,156.43,10012
0,1,64,64,0,50,0,0,0.21,298.36,4774
0,1,64,64,0,100,0,0,0.21,298.45,4775
0,1,64,64,50,0,0,0,0.14,436.45,6983
0,1,64,64,50,50,0,0,0.21,299.11,4786
0,1,64,64,50,100,0,0,0.21,299.14,4786
0,1,64,64,100,0,0,0,0.14,435.64,6970
0,1,64,64,100,50,0,0,0.21,298.28,4772
0,1,64,64,100,100,0,0,0.21,298.67,4779
0,1,64,256,0,50,0,0,0.60,416.91,1667
0,1,64,256,0,100,0,0,0.60,416.26,1665
0,1,64,256,50,0,0,0,0.53,468.21,1873
0,1,64,256,50,50,0,0,0.60,416.26,1665
0,1,64,256,50,100,0,0,0.60,416.71,1667
0,1,64,256,100,0,0,0,0.53,469.30,1877
0,1,64,256,100,50,0,0,0.60,416.16,1664
0,1,64,256,100,100,0,0,0.60,416.61,1666
0,1,256,1,0,50,0,0,0.07,13.37,13691
0,1,256,1,0,100,0,0,0.07,13.54,13862
0,1,256,1,50,0,0,0,0.02,58.56,59969
0,1,256,1,50,50,0,0,0.07,13.38,13700
0,1,256,1,50,100,0,0,0.07,13.55,13878
0,1,256,1,100,0,0,0,0.02,58.84,60247
0,1,256,1,100,50,0,0,0.07,13.35,13675
0,1,256,1,100,100,0,0,0.07,13.51,13839
0,1,256,4,0,50,0,0,0.08,49.72,12729
0,1,256,4,0,100,0,0,0.08,50.15,12837
0,1,256,4,50,0,0,0,0.02,183.26,46916
0,1,256,4,50,50,0,0,0.08,49.73,12730
0,1,256,4,50,100,0,0,0.08,50.13,12833
0,1,256,4,100,0,0,0,0.02,183.20,46898
0,1,256,4,100,50,0,0,0.08,49.71,12727
0,1,256,4,100,100,0,0,0.08,50.15,12839
0,1,256,16,0,50,0,0,0.10,154.40,9881
0,1,256,16,0,100,0,0,0.10,156.35,10006
0,1,256,16,50,0,0,0,0.04,355.69,22764
0,1,256,16,50,50,0,0,0.10,154.40,9881
0,1,256,16,50,100,0,0,0.10,156.40,10009
0,1,256,16,100,0,0,0,0.04,355.44,22748
0,1,256,16,100,50,0,0,0.10,154.40,9882
0,1,256,16,100,100,0,0,0.10,156.37,10008
0,1,256,64,0,50,0,0,0.21,298.18,4771
0,1,256,64,0,100,0,0,0.21,298.58,4777
0,1,256,64,50,0,0,0,0.14,434.36,6950
0,1,256,64,50,50,0,0,0.21,298.47,4775
0,1,256,64,50,100,0,0,0.21,299.05,4785
0,1,256,64,100,0,0,0,0.14,434.65,6954
0,1,256,64,100,50,0,0,0.21,298.40,4774
0,1,256,64,100,100,0,0,0.21,298.67,4779
0,1,256,256,0,50,0,0,0.60,416.36,1665
0,1,256,256,0,100,0,0,0.60,417.01,1668
0,1,256,256,50,0,0,0,0.53,467.96,1872
0,1,256,256,50,50,0,0,0.60,416.26,1665
0,1,256,256,50,100,0,0,0.60,416.36,1665
0,1,256,256,100,0,0,0,0.53,468.31,1873
0,1,256,256,100,50,0,0,0.60,416.36,1665
0,1,256,256,100,100,0,0,0.60,416.06,1664
0,4,1,1,0,50,0,0,0.10,40.60,41576
0,4,1,1,0,100,0,0,0.08,48.59,49758
