wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,4,4,0,0,256,0,0.02,183.03,46856
0,1,4,4,0,0,256,64,0.08,50.27,12869
0,1,4,4,0,0,256,128,0.08,50.25,12865
0,1,4,4,0,0,256,256,0.08,50.37,12894
0,1,4,16,0,0,0,64,0.10,156.72,10030
0,1,4,16,0,0,0,128,0.10,156.74,10031
0,1,4,16,0,0,0,256,0.10,157.46,10077
0,1,4,16,0,0,64,0,0.04,356.13,22792
0,1,4,16,0,0,64,64,0.10,156.87,10040
0,1,4,16,0,0,64,128,0.10,156.74,10031
0,1,4,16,0,0,64,256,0.10,157.51,10081
0,1,4,16,0,0,128,0,0.04,356.61,22823
0,1,4,16,0,0,128,64,0.10,156.69,10028
0,1,4,16,0,0,128,128,0.10,156.76,10032
0,1,4,16,0,0,128,256,0.10,157.30,10067
0,1,4,16,0,0,256,0,0.04,355.93,22780
0,1,4,16,0,0,256,64,0.10,156.45,10013
0,1,4,16,0,0,256,128,0.10,156.67,10027
0,1,4,16,0,0,256,256,0.10,157.32,10068
0,1,4,64,0,0,0,64,0.21,299.43,4791
0,1,4,64,0,0,0,128,0.21,298.55,4777
0,1,4,64,0,0,0,256,0.21,298.06,4769
0,1,4,64,0,0,64,0,0.14,435.06,6961
0,1,4,64,0,0,64,64,0.21,299.32,4789
0,1,4,64,0,0,64,128,0.21,298.69,4779
0,1,4,64,0,0,64,256,0.21,298.13,4770
0,1,4,64,0,0,128,0,0.14,433.26,6932
0,1,4,64,0,0,128,64,0.21,299.09,4785
0,1,4,64,0,0,128,128,0.21,298.45,4775
0,1,4,64,0,0,128,256,0.21,297.99,4768
0,1,4,64,0,0,256,0,0.14,432.91,6926
0,1,4,64,0,0,256,64,0.21,298.58,4777
0,1,4,64,0,0,256,128,0.21,298.32,4773
0,1,4,64,0,0,256,256,0.21,297.77,4764
0,1,4,256,0,0,0,64,0.60,414.71,1659
0,1,4,256,0,0,0,128,0.60,416.06,1664
0,1,4,256,0,0,0,256,0.60,416.56,1666
0,1,4,256,0,0,64,0,0.53,467.90,1871
0,1,4,256,0,0,64,64,0.60,414.56,1658
0,1,4,256,0,0,64,128,0.60,416.71,1667
0,1,4,256,0,0,64,256,0.60,417.26,1669
0,1,4,256,0,0,128,0,0.53,467.75,1871
0,1,4,256,0,0,128,64,0.60,414.76,1659
0,1,4,256,0,0,128,128,0.60,415.96,1664
0,1,4,256,0,0,128,256,0.60,417.87,1671
0,1,4,256,0,0,256,0,0.53,468.55,1874
0,1,4,256,0,0,256,64,0.60,414.51,1658
0,1,4,256,0,0,256,128,0.60,416.36,1665
0,1,4,256,0,0,256,256,0.60,417.16,1668
0,1,16,1,0,0,0,64,0.07,13.56,13882
0,1,16,1,0,0,0,128,0.07,13.59,13916
0,1,16,1,0,0,0,256,0.07,13.53,13852
0,1,16,1,0,0,64,0,0.02,58.23,59632
0,1,16,1,0,0,64,64,0.07,13.58,13906
0,1,16,1,0,0,64,128,0.07,13.58,13901
0,1,16,1,0,0,64,256,0.07,13.53,13851
0,1,16,1,0,0,128,0,0.02,58.10,59497
0,1,16,1,0,0,128,64,0.07,13.56,13885
0,1,16,1,0,0,128,128,0.07,13.59,13913
0,1,16,1,0,0,128,256,0.07,13.52,13845
0,1,16,1,0,0,256,0,0.02,58.13,59525
0,1,16,1,0,0,256,64,0.07,13.57,13891
0,1,16,1,0,0,256,128,0.07,13.57,13900
0,1,16,1,0,0,256,256,0.07,13.52,13841
0,1,16,4,0,0,0,64,0.08,50.28,12872
0,1,16,4,0,0,0,128,0.08,50.26,12866
0,1,16,4,0,0,0,256,0.08,50.36,12892
0,1,16,4,0,0,64,0,0.02,185.88,47586
0,1,16,4,0,0,64,64,0.08,50.28,12873
0,1,16,4,0,0,64,128,0.08,50.23,12860
0,1,16,4,0,0,64,256,0.08,50.35,12891
0,1,16,4,0,0,128,0,0.02,183.31,46927
0,1,16,4,0,0,128,64,0.08,50.27,12870
0,1,16,4,0,0,128,128,0.08,50.22,12856
0,1,16,4,0,0,128,256,0.08,50.34,12888
0,1,16,4,0,0,256,0,0.02,183.15,46886
0,1,16,4,0,0,256,64,0.08,50.26,12866
0,1,16,4,0,0,256,128,0.08,50.25,12863
0,1,16,4,0,0,256,256,0.08,50.37,12893
0,1,16,16,0,0,0,64,0.10,156.62,10023
0,1,16,16,0,0,0,128,0.10,156.59,10022
0,1,16,16,0,0,0,256,0.10,157.36,10071
0,1,16,16,0,0,64,0,0.04,354.86,22711
0,1,16,16,0,0,64,64,0.10,156.57,10020
0,1,16,16,0,0,64,128,0.10,156.59,10021
0,1,16,16,0,0,64,256,0.10,157.33,10069
0,1,16,16,0,0,128,0,0.04,354.79,22707
0,1,16,16,0,0,128,64,0.10,156.59,10021
0,1,16,16,0,0,128,128,0.10,156.58,10021
0,1,16,16,0,0,128,256,0.10,157.51,10081
0,1,16,16,0,0,256,0,0.04,355.56,22756
0,1,16,16,0,0,256,64,0.10,156.70,10029
0,1,16,16,0,0,256,128,0.10,156.77,10033
0,1,16,16,0,0,256,256,0.10,157.37,10072
0,1,16,64,0,0,0,64,0.21,299.07,4785
0,1,16,64,0,0,0,128,0.21,298.56,4777
0,1,16,64,0,0,0,256,0.21,300.21,4803
0,1,16,64,0,0,64,0,0.14,434.69,6955
0,1,16,64,0,0,64,64,0.21,299.63,4794
0,1,16,64,0,0,64,128,0.21,298.56,4777
0,1,16,64,0,0,64,256,0.21,298.24,4772
0,1,16,64,0,0,128,0,0.14,434.60,6953
0,1,16,64,0,0,128,64,0.21,299.21,4787
0,1,16,64,0,0,128,128,0.21,298.92,4782
0,1,16,64,0,0,128,256,0.21,298.41,4774
0,1,16,64,0,0,256,0,0.14,434.31,6949
0,1,16,64,0,0,256,64,0.21,299.62,4794
