wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
25,1,1,4,0,0,0,0,0.08,41.52,13067
25,1,1,16,0,0,0,0,0.10,113.66,9505
25,1,1,64,0,0,0,0,0.19,242.14,5162
25,1,1,256,0,0,0,0,0.49,380.16,2024
25,1,4,1,0,0,0,0,0.07,25.10,14750
25,1,4,4,0,0,0,0,0.07,55.73,14266
25,1,4,16,0,0,0,0,0.10,123.92,9761
25,1,4,64,0,0,0,0,0.19,251.22,5267
25,1,4,256,0,0,0,0,0.49,380.78,2019
25,1,16,1,0,0,0,0,0.07,60.55,13141
25,1,16,4,0,0,0,0,0.08,86.37,12674
25,1,16,16,0,0,0,0,0.10,155.21,9933
25,1,16,64,0,0,0,0,0.18,275.94,5450
25,1,16,256,0,0,0,0,0.47,403.99,2112
25,1,64,1,0,0,0,0,0.11,143.72,8740
25,1,64,4,0,0,0,0,0.12,159.12,8542
25,1,64,16,0,0,0,0,0.14,198.12,7208
25,1,64,64,0,0,0,0,0.22,281.07,4497
25,1,64,256,0,0,0,0,0.50,404.89,1994
25,1,256,1,0,0,0,0,0.25,256.90,4004
25,1,256,4,0,0,0,0,0.26,254.55,3821
25,1,256,16,0,0,0,0,0.28,267.56,3595
25,1,256,64,0,0,0,0,0.36,298.83,2735
25,1,256,256,0,0,0,0,0.66,376.41,1505
25,4,1,1,0,0,0,0,0.12,32.31,33084
25,4,1,4,0,0,0,0,0.14,93.50,29418
25,4,1,16,0,0,0,0,0.22,219.41,18295
25,4,1,64,0,0,0,0,0.53,352.57,7508
25,4,1,256,0,0,0,0,1.67,449.35,2396
25,4,4,1,0,0,0,0,0.13,52.40,30741
25,4,4,4,0,0,0,0,0.10,147.68,37806
25,4,4,16,0,0,0,0,0.20,255.07,20070
25,4,4,64,0,0,0,0,0.52,364.77,7646
25,4,4,256,0,0,0,0,1.67,452.11,2399
25,4,16,1,0,0,0,0,0.16,116.23,25142
25,4,16,4,0,0,0,0,0.13,203.43,29834
25,4,16,16,0,0,0,0,0.20,310.34,19861
25,4,16,64,0,0,0,0,0.51,401.64,7920
25,4,16,256,0,0,0,0,1.62,473.44,2473
25,4,64,1,0,0,0,0,0.29,224.04,13793
25,4,64,4,0,0,0,0,0.27,275.07,14948
25,4,64,16,0,0,0,0,0.34,320.39,11752
25,4,64,64,0,0,0,0,0.60,413.93,6622
25,4,64,256,0,0,0,0,1.62,499.76,2461
25,4,256,1,0,0,0,0,0.74,343.24,5362
25,4,256,4,0,0,0,0,0.71,370.51,5609
25,4,256,16,0,0,0,0,0.80,376.16,5022
25,4,256,64,0,0,0,0,1.09,402.21,3656
25,4,256,256,0,0,0,0,2.09,478.17,1912
25,16,1,1,0,0,0,0,0.25,61.93,63415
25,16,1,4,0,0,0,0,0.31,162.57,51214
25,16,1,16,0,0,0,0,0.61,312.89,26117
25,16,1,64,0,0,0,0,1.81,416.04,8838
25,16,1,256,0,0,0,0,6.01,499.67,2661
25,16,4,1,0,0,0,0,0.28,97.59,57083
25,16,4,4,0,0,0,0,0.21,291.14,74529
25,16,4,16,0,0,0,0,0.46,437.83,34448
25,16,4,64,0,0,0,0,1.71,449.39,9400
25,16,4,256,0,0,0,0,5.81,515.84,2733
25,16,16,1,0,0,0,0,0.40,183.81,39650
25,16,16,4,0,0,0,0,0.35,310.07,45394
25,16,16,16,0,0,0,0,0.60,416.38,26645
25,16,16,64,0,0,0,0,1.83,443.40,8738
25,16,16,256,0,0,0,0,6.00,511.83,2669
25,16,64,1,0,0,0,0,0.85,307.03,18870
25,16,64,4,0,0,0,0,0.82,359.75,19490
25,16,64,16,0,0,0,0,1.08,402.87,14791
25,16,64,64,0,0,0,0,2.00,500.75,8009
25,16,64,256,0,0,0,0,6.22,522.97,2574
25,16,256,1,0,0,0,0,2.33,442.62,6866
25,16,256,4,0,0,0,0,2.32,459.01,6894
25,16,256,16,0,0,0,0,2.67,463.02,6166
25,16,256,64,0,0,0,0,3.58,490.85,4468
25,16,256,256,0,0,0,0,7.88,508.36,2030
25,64,1,1,0,0,0,0,0.52,121.58,124483
25,64,1,4,0,0,0,0,1.09,188.33,59346
25,64,1,16,0,0,0,0,2.19,335.47,27985
25,64,1,64,0,0,0,0,6.58,465.00,9855
25,64,1,256,0,0,0,0,22.91,513.94,2724
25,64,4,1,0,0,0,0,0.66,166.09,97386
25,64,4,4,0,0,0,0,0.77,327.70,83879
25,64,4,16,0,0,0,0,1.84,456.50,35915
25,64,4,64,0,0,0,0,6.01,510.17,10629
25,64,4,256,0,0,0,0,22.63,528.14,2785
25,64,16,1,0,0,0,0,1.17,262.80,56670
25,64,16,4,0,0,0,0,1.33,335.78,49118
25,64,16,16,0,0,0,0,2.34,441.73,28258
25,64,16,64,0,0,0,0,6.34,511.09,10051
25,64,16,256,0,0,0,0,24.57,528.06,2744
25,64,64,1,0,0,0,0,2.69,401.18,24590
25,64,64,4,0,0,0,0,2.82,412.97,22328
25,64,64,16,0,0,0,0,3.62,458.66,16862
25,64,64,64,0,0,0,0,7.88,508.27,8119
25,64,64,256,0,0,0,0,25.37,512.88,2515
25,64,256,1,0,0,0,0,8.62,481.28,7526
25,64,256,4,0,0,0,0,8.41,497.89,7515
25,64,256,16,0,0,0,0,11.91,481.94,6398
25,64,256,64,0,0,0,0,14.34,491.11,4462
25,64,256,256,0,0,0,0,32.01,502.91,1999
50,1,1,1,0,0,0,0,0.05,17.98,18411
50,1,1,4,0,0,0,0,0.06,37.47,15357
50,1,1,16,0,0,0,0,0.08,98.31,11803
50,1,1,64,0,0,0,0,0.14,221.57,7009
50,1,1,256,0,0,0,0,0.35,360.83,2876
50,1,4,1,0,0,0,0,0.07,36.80,15070
50,1,4,4,0,0,0,0,0.06,69.30,17741
50,1,4,16,0,0,0,0,0.08,128.04,13117
50,1,4,64,0,0,0,0,0.14,241.50,7297
50,1,4,256,0,0,0,0,0.34,372.52,2927
50,1,16,1,0,0,0,0,0.08,100.08,12110
50,1,16,4,0,0,0,0,0.07,132.01,13512
50,1,16,16,0,0,0,0,0.09,174.00,11135
50,1,16,64,0,0,0,0,0.14,270.35,6941
50,1,16,256,0,0,0,0,0.34,391.75,2940
50,1,64,1,0,0,0,0,0.15,211.14,6629
50,1,64,4,0,0,0,0,0.15,225.35,6769
50,1,64,16,0,0,0,0,0.17,235.54,6022
50,1,64,64,0,0,0,0,0.22,278.51,4456
50,1,64,256,0,0,0,0,0.41,374.39,2406
50,1,256,1,0,0,0,0,0.39,321.10,2544
50,1,256,4,0,0,0,0,0.39,329.61,2577
50,1,256,16,0,0,0,0,0.42,318.83,2380
